order_id,customer_id,restaurant_id,order_date,delivery_time,status,total_amount,payment_mode,discount_applied,feedback_rating
1,114,73,2024-07-01 17:42:02,2024-07-01 18:49:02,Delivered,3098.28,Cash,33.25,1.41
2,402,68,2025-05-31 07:42:05,2025-05-31 08:44:05,Cancelled,83.87,Credit Card,37.85,1.21
3,46,30,2024-10-20 00:02:40,2024-10-20 01:28:40,Pending,4250.01,Credit Card,33.45,0.67
4,235,181,2023-11-13 12:48:27,2023-11-13 14:10:27,Delivered,1180.55,Cash,23.01,3.16
5,445,10,2024-07-24 13:45:42,2024-07-24 15:09:42,Delivered,4741.26,UPI,36.78,3.58
6,192,20,2024-06-17 14:39:26,2024-06-17 15:57:26,Pending,904.78,Cash,41.56,0.28
7,98,175,2024-12-01 22:02:51,2024-12-01 22:50:51,Delivered,4189.78,UPI,16.41,1.94
8,485,43,2024-04-04 20:17:01,2024-04-04 21:23:01,Pending,1717.02,UPI,48.91,0.90
9,472,158,2024-10-12 20:05:46,2024-10-12 21:24:46,Pending,4379.38,Credit Card,22.45,0.15
10,271,196,2025-02-07 16:13:38,2025-02-07 16:58:38,Delivered,658.37,UPI,12.83,4.73
11,137,192,2023-12-11 12:26:22,2023-12-11 13:42:22,Pending,4600.60,UPI,39.57,2.23
12,270,181,2024-09-30 07:52:52,2024-09-30 08:23:52,Cancelled,1935.19,UPI,7.66,4.84
13,301,109,2023-11-07 00:34:49,2023-11-07 01:40:49,Pending,396.93,Credit Card,18.66,0.94
14,208,189,2024-02-20 02:07:03,2024-02-20 03:05:03,Pending,3274.69,Cash,23.93,0.64
15,188,155,2023-08-14 20:55:08,2023-08-14 21:38:08,Cancelled,4417.59,Credit Card,23.70,2.37
16,243,139,2024-12-01 09:25:37,2024-12-01 10:41:37,Cancelled,492.38,Cash,26.67,2.23
17,189,131,2024-07-09 21:27:56,2024-07-09 22:17:56,Pending,989.98,Cash,38.68,2.00
18,241,36,2024-11-09 10:13:40,2024-11-09 11:31:40,Cancelled,1055.79,Credit Card,26.94,0.86
19,258,113,2023-10-25 09:46:25,2023-10-25 11:01:25,Delivered,2045.16,UPI,46.30,2.56
20,480,7,2025-03-17 04:34:06,2025-03-17 05:52:06,Cancelled,503.54,Credit Card,11.97,0.49
21,85,184,2025-05-27 17:48:09,2025-05-27 18:46:09,Pending,4675.20,UPI,36.70,3.26
22,295,27,2024-05-26 13:56:14,2024-05-26 14:29:14,Pending,2908.85,UPI,8.20,2.90
23,413,187,2023-10-23 22:25:19,2023-10-23 23:03:19,Delivered,4927.02,Credit Card,44.68,1.67
24,233,77,2025-01-10 11:28:51,2025-01-10 12:40:51,Delivered,4120.23,Cash,38.19,4.01
25,276,43,2023-09-29 01:16:16,2023-09-29 02:27:16,Cancelled,4089.30,Cash,42.76,4.72
26,56,138,2025-03-18 08:44:20,2025-03-18 09:44:20,Pending,495.38,UPI,28.10,1.13
27,221,174,2023-09-06 16:47:01,2023-09-06 17:22:01,Pending,1547.38,UPI,42.21,1.74
28,242,180,2024-08-12 08:15:38,2024-08-12 09:17:38,Cancelled,3990.77,UPI,46.72,4.63
29,247,96,2024-01-02 02:19:23,2024-01-02 03:26:23,Pending,653.10,Credit Card,20.30,3.28
30,475,20,2023-12-01 09:19:58,2023-12-01 10:25:58,Pending,3571.21,Credit Card,17.20,3.72
31,459,63,2023-11-18 21:09:51,2023-11-18 21:45:51,Delivered,3431.37,Cash,44.38,2.40
32,243,40,2025-05-20 05:53:19,2025-05-20 07:14:19,Cancelled,1637.52,Cash,27.46,2.09
33,303,140,2024-09-17 13:31:34,2024-09-17 14:54:34,Pending,4545.35,Cash,17.25,0.50
34,233,72,2025-05-23 13:51:30,2025-05-23 15:02:30,Cancelled,2734.94,Credit Card,2.55,1.18
35,104,177,2024-08-18 19:37:04,2024-08-18 21:04:04,Pending,964.15,Credit Card,9.81,1.29
36,75,200,2024-03-15 12:44:26,2024-03-15 13:16:26,Cancelled,4788.95,Cash,12.48,0.50
37,388,146,2024-09-13 10:45:44,2024-09-13 12:05:44,Pending,918.00,Cash,24.24,2.36
38,234,31,2025-05-17 02:32:13,2025-05-17 03:05:13,Delivered,4774.84,Credit Card,45.30,3.76
39,263,104,2024-09-15 05:11:54,2024-09-15 06:41:54,Delivered,4062.40,Credit Card,26.97,0.04
40,94,6,2024-11-01 14:39:10,2024-11-01 16:03:10,Delivered,712.90,Cash,21.41,4.70
41,386,46,2023-09-24 10:02:11,2023-09-24 11:29:11,Pending,4398.70,Credit Card,11.78,4.38
42,368,7,2024-09-09 23:40:05,2024-09-10 00:37:05,Pending,1093.85,Cash,31.10,2.01
43,157,44,2024-10-27 12:54:56,2024-10-27 13:43:56,Delivered,2695.68,Credit Card,39.28,0.62
44,299,57,2024-04-26 05:21:31,2024-04-26 06:02:31,Pending,4352.73,Credit Card,28.84,1.22
45,34,12,2024-08-30 11:14:39,2024-08-30 12:09:39,Delivered,1877.41,Cash,27.11,0.12
46,88,138,2024-11-08 17:02:50,2024-11-08 17:44:50,Pending,2132.75,Credit Card,11.33,1.25
47,73,117,2024-05-05 07:36:50,2024-05-05 08:54:50,Delivered,1474.71,UPI,48.74,1.35
48,170,191,2023-10-11 03:19:35,2023-10-11 03:49:35,Pending,4143.23,Credit Card,29.62,2.61
49,81,3,2023-12-13 00:08:05,2023-12-13 00:48:05,Delivered,770.17,Credit Card,43.25,2.67
50,51,184,2023-10-08 03:07:42,2023-10-08 04:36:42,Cancelled,115.04,UPI,42.45,3.27
51,426,53,2024-01-28 23:30:21,2024-01-29 00:03:21,Pending,2002.40,Credit Card,25.29,2.27
52,426,117,2024-12-23 02:53:25,2024-12-23 03:44:25,Delivered,3530.00,Credit Card,1.57,0.17
53,386,56,2024-08-18 11:01:21,2024-08-18 12:26:21,Cancelled,588.81,UPI,29.98,3.15
54,164,145,2024-05-21 03:36:58,2024-05-21 04:42:58,Pending,2183.03,Cash,31.10,2.18
55,56,12,2024-09-13 10:10:53,2024-09-13 10:47:53,Pending,648.31,Cash,12.37,3.42
56,127,94,2023-10-11 05:03:54,2023-10-11 05:53:54,Cancelled,2216.33,Cash,12.33,4.69
57,311,103,2024-12-20 03:26:44,2024-12-20 04:09:44,Pending,2398.53,Cash,49.27,0.81
